epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,1420.56,0.68034,0.62748,0.00647,0.93357,0.87074,0.94433,0.73127,0.89771,0.81961,0.0081,0.0184202,0.00614006,0.0184202,0.00614006,0.0184202,0.00614006,0.0184202,0.00614006
90,2498.72,0.78144,0.72053,0.00753,0.90654,0.89506,0.94421,0.73145,0.89888,0.81922,0.00813,0.0182,0.00606666,0.0182,0.00606666,0.0182,0.00606666,0.0182,0.00606666
91,3609.86,0.82952,0.783,0.00809,0.92775,0.87837,0.944,0.73118,0.89804,0.81703,0.00815,0.0179792,0.00599306,0.0179792,0.00599306,0.0179792,0.00599306,0.0179792,0.00599306
92,4714.41,0.86717,0.81359,0.0084,0.92396,0.88343,0.94334,0.72998,0.89741,0.82132,0.00816,0.0177578,0.00591928,0.0177578,0.00591928,0.0177578,0.00591928,0.0177578,0.00591928
93,5805.61,0.89121,0.84785,0.00869,0.90981,0.88917,0.9439,0.73117,0.89593,0.81754,0.00815,0.017536,0.00584533,0.017536,0.00584533,0.017536,0.00584533,0.017536,0.00584533
94,7056.57,0.91088,0.87679,0.00886,0.92865,0.86945,0.94369,0.73118,0.89198,0.8175,0.0081,0.0173137,0.00577124,0.0173137,0.00577124,0.0173137,0.00577124,0.0173137,0.00577124
95,8427.6,0.91613,0.88917,0.00893,0.92533,0.87328,0.94229,0.73184,0.88992,0.81438,0.00808,0.017091,0.00569701,0.017091,0.00569701,0.017091,0.00569701,0.017091,0.00569701
96,9648.74,0.90881,0.88003,0.00885,0.92962,0.87333,0.94318,0.73444,0.88781,0.81647,0.00807,0.016868,0.00562268,0.016868,0.00562268,0.016868,0.00562268,0.016868,0.00562268
97,10720.2,0.91488,0.88064,0.00896,0.91811,0.88724,0.94547,0.7361,0.88664,0.81327,0.00805,0.0166448,0.00554825,0.0166448,0.00554825,0.0166448,0.00554825,0.0166448,0.00554825
98,11762.1,0.91668,0.89445,0.00898,0.92115,0.87667,0.94595,0.73711,0.88438,0.81485,0.00804,0.0164213,0.00547376,0.0164213,0.00547376,0.0164213,0.00547376,0.0164213,0.00547376
99,12784.9,0.91643,0.87917,0.00897,0.92917,0.88134,0.94621,0.73854,0.88183,0.80413,0.00801,0.0161976,0.0053992,0.0161976,0.0053992,0.0161976,0.0053992,0.0161976,0.0053992
100,13607.8,0.92998,0.91382,0.00907,0.92872,0.88271,0.94567,0.73941,0.87962,0.80103,0.008,0.0159738,0.00532461,0.0159738,0.00532461,0.0159738,0.00532461,0.0159738,0.00532461
101,14152.8,0.93462,0.93159,0.0091,0.91363,0.89767,0.94591,0.73963,0.87942,0.7921,0.00798,0.01575,0.00525,0.01575,0.00525,0.01575,0.00525,0.01575,0.00525
102,819.741,0.92098,0.85473,0.0066,0.88395,0.89232,0.91655,0.74086,0.7627,0.68682,0.00478,0.0155262,0.00517539,0.0155262,0.00517539,0.0155262,0.00517539,0.0155262,0.00517539
103,1557.46,0.91369,0.85508,0.00669,0.89262,0.88855,0.92104,0.74626,0.75297,0.68139,0.00474,0.0153024,0.0051008,0.0153024,0.0051008,0.0153024,0.0051008,0.0153024,0.0051008
104,913.47,0.89899,0.82527,0.00637,0.89174,0.89498,0.92507,0.74994,0.74861,0.67216,0.00472,0.0150787,0.00502624,0.0150787,0.00502624,0.0150787,0.00502624,0.0150787,0.00502624
105,1910.28,0.90067,0.83326,0.00655,0.8913,0.89719,0.9269,0.75204,0.7428,0.66859,0.0047,0.0148552,0.00495175,0.0148552,0.00495175,0.0148552,0.00495175,0.0148552,0.00495175
106,2618.17,0.89462,0.83333,0.00649,0.89987,0.89304,0.93045,0.75651,0.73669,0.65756,0.00467,0.014632,0.00487732,0.014632,0.00487732,0.014632,0.00487732,0.014632,0.00487732
107,3777.27,0.89363,0.83375,0.00652,0.90835,0.89203,0.93222,0.75865,0.73131,0.65153,0.00464,0.014409,0.00480299,0.014409,0.00480299,0.014409,0.00480299,0.014409,0.00480299
108,4594.78,0.88204,0.82369,0.00658,0.91107,0.89475,0.93377,0.76154,0.72674,0.64359,0.00462,0.0141863,0.00472876,0.0141863,0.00472876,0.0141863,0.00472876,0.0141863,0.00472876
109,5332.89,0.88247,0.82416,0.00652,0.90774,0.89781,0.93509,0.76445,0.72239,0.63996,0.0046,0.013964,0.00465467,0.013964,0.00465467,0.013964,0.00465467,0.013964,0.00465467
110,6104.92,0.87437,0.8171,0.00647,0.91077,0.89817,0.9362,0.76711,0.71788,0.63103,0.00458,0.0137422,0.00458072,0.0137422,0.00458072,0.0137422,0.00458072,0.0137422,0.00458072
111,7027.42,0.8672,0.80434,0.00646,0.91623,0.89913,0.93759,0.76977,0.71395,0.62729,0.00456,0.0135208,0.00450694,0.0135208,0.00450694,0.0135208,0.00450694,0.0135208,0.00450694
112,7752.45,0.85861,0.7994,0.00636,0.92191,0.89426,0.93911,0.77144,0.71102,0.62475,0.00455,0.0133,0.00443334,0.0133,0.00443334,0.0133,0.00443334,0.0133,0.00443334
113,8520.38,0.86249,0.80103,0.0064,0.9271,0.89618,0.94021,0.77323,0.70808,0.62399,0.00454,0.0130798,0.00435994,0.0130798,0.00435994,0.0130798,0.00435994,0.0130798,0.00435994
114,9244.48,0.8455,0.78583,0.00626,0.92813,0.89448,0.94094,0.77507,0.70508,0.62018,0.00451,0.0128603,0.00428676,0.0128603,0.00428676,0.0128603,0.00428676,0.0128603,0.00428676
115,9962.73,0.84404,0.77625,0.00627,0.93168,0.8919,0.94086,0.77641,0.70248,0.617,0.0045,0.0126415,0.00421382,0.0126415,0.00421382,0.0126415,0.00421382,0.0126415,0.00421382
116,10682.3,0.83967,0.7744,0.0062,0.92896,0.89562,0.94049,0.77775,0.69969,0.61465,0.00449,0.0124234,0.00414113,0.0124234,0.00414113,0.0124234,0.00414113,0.0124234,0.00414113
117,11446.5,0.83715,0.76875,0.00621,0.93066,0.89016,0.94068,0.77794,0.6978,0.61241,0.00447,0.0122062,0.00406872,0.0122062,0.00406872,0.0122062,0.00406872,0.0122062,0.00406872
118,12333.7,0.8337,0.76995,0.00618,0.93461,0.8872,0.94038,0.77778,0.69576,0.60889,0.00447,0.0119898,0.0039966,0.0119898,0.0039966,0.0119898,0.0039966,0.0119898,0.0039966
119,13111.3,0.82742,0.75487,0.00612,0.93864,0.88393,0.94074,0.77822,0.69413,0.6065,0.00446,0.0117744,0.00392479,0.0117744,0.00392479,0.0117744,0.00392479,0.0117744,0.00392479
120,14227.7,0.82354,0.75847,0.00609,0.9422,0.88177,0.94124,0.77989,0.69265,0.6064,0.00445,0.0115599,0.00385331,0.0115599,0.00385331,0.0115599,0.00385331,0.0115599,0.00385331
121,15461.9,0.82162,0.76101,0.00601,0.93897,0.88335,0.94248,0.78049,0.69091,0.60553,0.00444,0.0113465,0.00378217,0.0113465,0.00378217,0.0113465,0.00378217,0.0113465,0.00378217
122,925.071,0.79376,0.69246,0.00557,0.93829,0.88748,0.94287,0.78075,0.69067,0.603,0.00444,0.0111342,0.00371139,0.0111342,0.00371139,0.0111342,0.00371139,0.0111342,0.00371139
123,1676.94,0.814,0.71432,0.00584,0.92961,0.89417,0.94413,0.7818,0.69078,0.60396,0.00443,0.010923,0.00364099,0.010923,0.00364099,0.010923,0.00364099,0.010923,0.00364099
124,2414.8,0.81308,0.73034,0.00581,0.93088,0.8974,0.94411,0.78226,0.6903,0.60283,0.00443,0.010713,0.00357099,0.010713,0.00357099,0.010713,0.00357099,0.010713,0.00357099
125,3223.19,0.81863,0.73876,0.00585,0.92836,0.8982,0.94409,0.78224,0.68995,0.60186,0.00442,0.0105042,0.00350141,0.0105042,0.00350141,0.0105042,0.00350141,0.0105042,0.00350141
